"SamAccountName","DistinguishedName","Enabled","LastLogonDate","PasswordNeverExpires","PasswordLastSet","ServicePrincipalNames","MemberOf"
"jsmith","CN=John Smith,OU=IT,DC=example,DC=local","True","2026-08-30 08:00:00","False","2026-08-01 10:00:00","","CN=Domain Admins,CN=Users,DC=example,DC=local"
"bwayne","CN=Bruce Wayne,OU=Executives,DC=example,DC=local","True","2026-08-31 09:00:00","True","2025-01-01 09:00:00","","CN=Enterprise Admins,CN=Users,DC=example,DC=local"
"ckent","CN=Clark Kent,OU=HR,DC=example,DC=local","True","2025-05-01 09:00:00","False","2025-04-01 09:00:00","","CN=HR Users,OU=Groups,DC=example,DC=local"
"dprince","CN=Diana Prince,OU=Sales,DC=example,DC=local","False","2026-01-10 12:00:00","False","2025-12-01 10:00:00","","CN=Domain Admins,CN=Users,DC=example,DC=local"
"pparker","CN=Peter Parker,OU=Marketing,DC=example,DC=local","True","2026-08-25 15:00:00","False","2024-05-10 11:00:00","","CN=Marketing Users,OU=Groups,DC=example,DC=local"
"svc_sql","CN=Service SQL,OU=ServiceAccounts,DC=example,DC=local","True","2026-08-31 01:00:00","True","2022-01-01 00:00:00","MSSQLSvc/db01.example.local:1433","CN=Domain Admins,CN=Users,DC=example,DC=local"
"svc_web","CN=Service Web,OU=ServiceAccounts,DC=example,DC=local","True","2026-08-30 02:00:00","False","2026-08-15 00:00:00","HTTP/web.example.local",""
"svc_web_test","CN=Service Web Test,OU=ServiceAccounts,DC=example,DC=local","True","2026-08-30 02:00:00","False","2026-08-15 00:00:00","HTTP/web.example.local",""
"hstark","CN=Howard Stark,OU=Engineering,DC=example,DC=local","True","2026-08-31 10:00:00","False","2026-08-20 10:00:00","",""
"nromanoff","CN=Natasha Romanoff,OU=Security,DC=example,DC=local","True","2026-08-31 11:00:00","False","2026-08-10 09:00:00","","CN=Domain Admins,CN=Users,DC=example,DC=local"
"bbanner","CN=Bruce Banner,OU=Research,DC=example,DC=local","True","2026-08-20 10:00:00","False","2026-08-15 10:00:00","",""
"tstark","CN=Tony Stark,OU=Engineering,DC=example,DC=local","False","","False","","",""
"srogers","CN=Steve Rogers,OU=Management,DC=example,DC=local","True","2025-10-15 08:30:00","False","2025-10-01 08:30:00","",""
